geoareaname,timeperiod,GDP_per_Capita_growth,country_name,year,WB_Population
Nauru,2016,9.55354,Nauru,2016,10474
Bahrain,2016,8.6,Bahrain,2016,1425793
Iraq,2016,7.75136,Iraq,2016,36610632
Costa Rica,2016,7.2,Costa Rica,2016,4899336
China,2016,6.7577,China,2016,1387790000
Iceland,2016,6.48034,Iceland,2016,335439
Samoa,2016,6.1,Samoa,2016,194540
Bangladesh,2016,5.96271,Bangladesh,2016,157977151
Romania,2016,5.6,Romania,2016,19702267
Dominican Republic,2016,5.43955,Dominican Republic,2016,10397738
Uzbekistan,2016,5.3,Uzbekistan,2016,31847900
India,2016,5.3,India,2016,1324517250
Cambodia,2016,5.1,Cambodia,2016,15766290
Malta,2016,5.0876,Malta,2016,455356
Turkmenistan,2016,4.8,Turkmenistan,2016,5662371
Myanmar,2016,4.70842,Myanmar,2016,53045199
Philippines,2016,4.7,Philippines,2016,103663812
Djibouti,2016,4.61706,Djibouti,2016,929117
Bulgaria,2016,4.61017,Bulgaria,2016,7127822
Tajikistan,2016,4.6,Tajikistan,2016,8663575
Ireland,2016,4.56362,Ireland,2016,4755335
Ethiopia,2016,4.5,Ethiopia,2016,103603461
Antigua and Barbuda,2016,4.25734,Antigua and Barbuda,2016,94520
Bhutan,2016,4.2,Bhutan,2016,736706
Thailand,2016,3.987,Thailand,2016,68971313
Sri Lanka,2016,3.95584,Sri Lanka,2016,21203000
Indonesia,2016,3.82778,Indonesia,2016,261556386
Sierra Leone,2016,3.81674,Sierra Leone,2016,7328846
Nicaragua,2016,3.54631,Nicaragua,2016,6303970
Croatia,2016,3.52279,Croatia,2016,4174349
Ukraine,2016,3.5,Ukraine,2016,45004673
Georgia,2016,3.42768,Georgia,2016,3727505
Central African Republic,2016,3.42734,Central African Republic,2016,4537683
Senegal,2016,3.4,Senegal,2016,14993514
Mauritius,2016,3.4,Mauritius,2016,1263473
Spain,2016,3.38607,Spain,2016,46484062
Serbia,2016,3.33708,Serbia,2016,7058322
Albania,2016,3.26047,Albania,2016,2876101
Maldives,2016,3.2,Maldives,2016,475505
Panama,2016,3.18385,Panama,2016,4037073
Kenya,2016,3.17238,Kenya,2016,49051531
Rwanda,2016,3.1,Rwanda,2016,11668829
Slovenia,2016,2.99576,Slovenia,2016,2065042
Montenegro,2016,2.9,Montenegro,2016,622303
Cyprus,2016,2.87306,Cyprus,2016,1170189
Burkina Faso,2016,2.87152,Burkina Faso,2016,18646350
Marshall Islands,2016,2.77816,Marshall Islands,2016,57723
Turks and Caicos Islands,2016,2.72153,Turks and Caicos Islands,2016,36558
Malaysia,2016,2.71954,Malaysia,2016,30684652
Guyana,2016,2.71597,Guyana,2016,771363
Timor-Leste,2016,2.70794,Timor-Leste,2016,1219289
Monaco,2016,2.69911,Monaco,2016,38070
Tonga,2016,2.64261,Tonga,2016,101143
Paraguay,2016,2.61822,Paraguay,2016,6777878
Peru,2016,2.58398,Peru,2016,30926036
